,inflation_date,inflation_rate,money_rate,repo_rate,1st Week(%),4th Week(%),13th Week(%),26th Week(%),52nd Week(%)
0,2021-10-01,0.8,7.9,1.0,0.51218,0.54208,0.57601,0.60201,0.618
1,2021-09-01,0.6,8.4,1.0,0.51022,0.54203,0.57701,0.602,0.617
2,2021-08-01,0.3,7.9,1.0,0.51022,0.55001,0.58501,0.61,0.625
3,2021-07-01,0.4,9.8,1.0,0.51015,0.55001,0.58501,0.61,0.625
4,2021-06-01,6.2,9.1,1.0,0.51022,0.55002,0.58501,0.61,0.625
5,2021-05-01,5.7,6.7,1.0,0.51015,0.56004,0.58834,0.61334,0.62833
6,2021-04-01,5.3,8.3,1.0,0.51022,0.57007,0.60001,0.62501,0.64
7,2021-03-01,4.9,8.9,1.0,0.51012,0.56606,0.60201,0.62601,0.641
8,2021-02-01,5.2,9.8,1.0,0.51022,0.57761,0.62063,0.64126,0.65875
9,2021-01-01,5.7,9.2,1.0,0.51022,0.58012,0.63001,0.65438,0.67188
10,2020-12-01,5.3,8.3,1.0,0.51022,0.58012,0.62801,0.65401,0.67155
11,2020-11-01,5.8,11.6,1.0,0.51022,0.58308,0.62001,0.65001,0.67
12,2020-10-01,5.8,10.8,1.0,0.51627,0.58804,0.62064,0.65026,0.67426
13,2020-09-01,5.7,10.6,1.0,0.52239,0.58974,0.62176,0.65075,0.68
14,2020-08-01,6.2,9.4,1.0,0.50996,0.57926,0.62176,0.65414,0.68425
15,2020-07-01,6.1,9.5,1.0,0.51022,0.58223,0.6276,0.6618,0.693
16,2020-06-01,0.5,9.0,1.0,0.51189,0.58874,0.63465,0.67478,0.70671
17,2020-05-01,1.1,10.19,1.0,0.52644,0.60916,0.66694,0.70878,0.7442
18,2020-04-01,1.3,10.04,1.0,0.53594,0.62234,0.69861,0.73774,0.77421
19,2020-03-01,1.5,9.84,1.0,0.94083,0.99573,1.03885,1.05976,1.08148
20,2020-02-01,1.2,7.46,2.25,1.75624,1.8042,1.84955,1.88488,1.91538
21,2020-01-01,0.7,6.6,2.25,1.76594,1.84538,1.94556,2.00651,2.07438
22,2019-12-01,-0.2,7.1,2.25,1.76371,1.81329,1.90235,1.99031,2.07569
23,2019-11-01,-0.8,5.2,2.25,1.78674,1.84005,1.91452,1.99101,2.07126
24,2019-10-01,-0.9,4.89,2.25,2.04829,2.05807,2.06898,2.07969,2.09158
25,2019-09-01,-1.4,2.69,2.5,2.1064,2.10868,2.11051,2.11315,2.1164
26,2019-08-01,-1.9,4.91,2.75,2.15059,2.15219,2.15343,2.15478,2.15626
27,2019-07-01,-2.2,3.93,2.75,2.44824,2.4498,2.45147,2.45331,2.45519
28,2019-06-01,-2.6,3.56,3.0,2.46341,2.46484,2.46594,2.46736,2.46881
29,2019-05-01,-2.6,4.9,3.0,2.52679,2.57133,2.65283,2.73117,2.77668
30,2019-04-01,-2.9,2.8,3.0,2.52394,2.57284,2.66808,2.76201,2.81631
31,2019-03-01,-3.2,1.78,3.0,2.53102,2.59937,2.70422,2.821,2.93502
32,2019-02-01,-3.2,1.53,3.0,2.54415,2.61818,2.7389,2.87644,2.98807
33,2019-01-01,-3.2,1.13,3.0,2.52329,2.59081,2.71994,2.85075,3.02062
34,2018-12-01,1.9,2.8,3.0,2.31358,2.38201,2.54421,2.71215,2.927
35,2018-11-01,2.6,1.9,2.75,2.24339,2.28046,2.46627,2.63845,2.84667
36,2018-10-01,2.1,1.69,2.75,2.20023,2.23568,2.35799,2.54961,2.75166
37,2018-09-01,2.1,2.37,2.75,2.01371,2.1199,2.26698,2.44424,2.66567
38,2018-08-01,2.3,-0.02,2.5,2.0094,2.06969,2.20017,2.37475,2.60567
39,2018-07-01,2.3,-0.8,2.5,2.00598,2.05567,2.18421,2.35733,2.58761
40,2018-06-01,2.3,-0.8,2.5,1.88646,1.95511,2.12074,2.28619,2.49993
41,2018-05-01,2.4,0.6,2.25,1.75555,1.81382,2.02034,2.15553,2.37379
42,2018-04-01,2.5,0.2,2.25,1.74444,1.76532,1.88681,2.02629,2.17697
43,2018-03-01,2.9,0.2,2.25,1.52339,1.63321,1.73729,1.91421,2.07346
44,2018-02-01,2.9,2.0,2.0,1.27883,1.41742,1.58725,1.76827,1.94888
45,2018-01-01,3.2,1.4,2.0,1.28243,1.3473,1.50881,1.67437,1.84337
46,2017-12-01,-1.11,0.2,2.0,1.19587,1.28856,1.46331,1.60394,1.75574
47,2017-11-01,-1.7,-1.4,2.0,1.05676,1.14432,1.36722,1.51686,1.64365
48,2017-10-01,-1.16,-0.6,2.0,1.00537,1.10525,1.34824,1.47692,1.57111
49,2017-09-01,-0.79,1.0,2.0,0.99521,1.08474,1.34089,1.42216,1.5223
50,2017-08-01,-0.74,2.4,2.0,0.96272,1.02882,1.28153,1.34618,1.4761
51,2017-07-01,-0.78,2.7,2.0,0.91199,0.9956,1.2027,1.3275,1.46435
52,2017-06-01,-0.54,2.5,2.0,0.77463,0.88485,1.1428,1.26229,1.39312
53,2017-05-01,-0.74,0.4,2.0,0.71475,0.81944,1.06089,1.19817,1.31672
54,2017-04-01,-0.65,0.7,2.0,0.67676,0.82696,1.01005,1.18738,1.31571
55,2017-03-01,-0.74,0.02,2.0,0.4879,0.65832,0.88457,1.03419,1.14168
56,2017-02-01,-0.58,0.1,2.0,0.37327,0.61268,0.79146,0.89001,0.98021
57,2017-01-01,-0.52,0.3,2.0,0.40593,0.68041,0.85375,0.94208,1.03729
58,2016-12-01,0.97,0.7,2.0,0.39616,0.72852,0.86834,0.95396,1.04854
59,2016-11-01,1.28,0.1,2.0,0.45848,0.83247,0.94016,1.01816,1.12067
60,2016-10-01,1.56,0.6,2.0,0.54006,0.91122,1.04625,1.1,1.18875
61,2016-09-01,1.9,-4.0,2.0,0.48748,0.92627,1.06599,1.12644,1.22666
62,2016-08-01,2.06,-2.5,2.0,0.48203,0.9283,1.05401,1.10433,1.18733
63,2016-07-01,2.26,-3.0,2.0,0.47661,0.90665,1.02999,1.07334,1.14667
64,2016-06-01,2.26,-2.6,2.0,0.5652,1.22382,1.40515,1.46666,1.58362
65,2016-05-01,2.33,-3.2,2.0,0.49057,1.2389,1.44986,1.50666,1.6456
66,2016-04-01,2.52,-1.5,2.0,0.48121,1.05732,1.2376,1.29573,1.43813
67,2016-03-01,2.59,-0.4,2.0,0.50404,0.98532,1.16419,1.23124,1.36933
68,2016-02-01,2.58,-0.9,2.0,0.42779,0.94933,1.12666,1.202,1.33434
