date,repo_rate,inflation_rate,money_rate,1st Week(%),4th Week(%),13th Week(%),26th Week(%),52nd Week(%)
2021-10-01,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-30,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-29,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-28,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-27,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-26,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-25,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-24,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-23,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-22,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-21,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-20,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-19,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-18,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-17,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-16,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-15,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-14,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-13,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-12,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-11,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-10,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-09,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-08,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-07,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-06,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-05,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-04,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-03,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-02,1,0.8,7.9,0.51218,0.54208,0.57601,0.60201,0.618
2021-09-01,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-31,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-30,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-29,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-28,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-27,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-26,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-25,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-24,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-23,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-22,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-21,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-20,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-19,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-18,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-17,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-16,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-15,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-14,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-13,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-12,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-11,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-10,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-09,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-08,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-07,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-06,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-05,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-04,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-03,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-02,1,0.6,8.4,0.51022,0.54203,0.57701,0.602,0.617
2021-08-01,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-31,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-30,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-29,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-28,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-27,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-26,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-25,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-24,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-23,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-22,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-21,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-20,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-19,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-18,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-17,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-16,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-15,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-14,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-13,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-12,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-11,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-10,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-09,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-08,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-07,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-06,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-05,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-04,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-03,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-02,1,0.3,7.9,0.51022,0.55001,0.58501,0.61,0.625
2021-07-01,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-30,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-29,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-28,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-27,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-26,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-25,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-24,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-23,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-22,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-21,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-20,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-19,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-18,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-17,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-16,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-15,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-14,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-13,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-12,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-11,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-10,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-09,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-08,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-07,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-06,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-05,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-04,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-03,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-02,1,0.4,9.8,0.51015,0.55001,0.58501,0.61,0.625
2021-06-01,1,6.2,9.1,0.51022,0.55002,0.58501,0.61,0.625
2021-05-31,1,6.2,9.1,0.51022,0.55002,0.58501,0.61,0.625
