inflation_date,inflation_rate
October 2021,0.8
September 2021,0.6
August 2021,0.3
July 2021,0.4
June 2021,6.2
May 2021,5.7
April 2021,5.3
March 2021,4.9
February 2021,5.2
January 2021,5.7
December 2020,5.3
November 2020,5.8
October 2020,5.8
September 2020,5.7
August 2020,6.2
July 2020,6.1
June 2020,0.5
May 2020,1.1
April 2020,1.3
March 2020,1.5
February 2020,1.2
January 2020,0.7
December 2019,-0.2
November 2019,-0.8
October 2019,-0.9
September 2019,-1.4
August 2019,-1.9
July 2019,-2.2
June 2019,-2.6
May 2019,-2.6
April 2019,-2.9
March 2019,-3.2
February 2019,-3.2
January 2019,-3.2
December 2018,1.9
November 2018,2.6
October 2018,2.1
September 2018,2.1
August 2018,2.3
July 2018,2.3
June 2018,2.3
May 2018,2.4
April 2018,2.5
March 2018,2.9
February 2018,2.9
January 2018,3.2
